Year,Value Bucket,Value_Min,Value_Max,Geography,Property Counts
2015,"$10,000 to $14,999",10000,14999.0,United States,705869
2015,"$15,000 to $19,999",15000,19999.0,United States,629841
2015,"$20,000 to $24,999",20000,24999.0,United States,659945
2015,"$25,000 to $29,999",25000,29999.0,United States,601605
2015,"$30,000 to $34,999",30000,34999.0,United States,739249
2015,"$35,000 to $39,999",35000,39999.0,United States,546091
2015,"$40,000 to $49,999",40000,49999.0,United States,1425946
2015,"$50,000 to $59,999",50000,59999.0,United States,1769877
2015,"$60,000 to $69,999",60000,69999.0,United States,2055529
2015,"$70,000 to $79,999",70000,79999.0,United States,2374297
2015,"$80,000 to $89,999",80000,89999.0,United States,2794942
2015,"$90,000 to $99,999",90000,99999.0,United States,2466857
2015,"$100,000 to $124,999",100000,124999.0,United States,6275735
2015,"$125,000 to $149,999",125000,149999.0,United States,5528331
2015,"$150,000 to $174,999",150000,174999.0,United States,6659967
2015,"$175,000 to $199,999",175000,199999.0,United States,4584396
2015,"$200,000 to $249,999",200000,249999.0,United States,7692487
2015,"$250,000 to $299,999",250000,299999.0,United States,5945177
2015,"$300,000 to $399,999",300000,399999.0,United States,7674805
2015,"$400,000 to $499,999",400000,499999.0,United States,4148191
2015,"$500,000 to $749,999",500000,749999.0,United States,4602188
2015,"$750,000 to $999,999",750000,999999.0,United States,1700050
2015,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,910854
2015,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,313903
2015,"$2,000,000 or More",2000000,inf,United States,445742
2015,"Less Than $10,000",0,9999.0,"Stillwater, OK",52
2015,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",28
2015,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",141
2015,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",151
2015,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",58
2015,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",14
2015,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2015,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",68
2015,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",98
2015,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",80
2015,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",204
2015,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",198
2015,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",306
2015,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",954
2015,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",958
2015,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",791
2015,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",751
2015,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",803
2015,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",409
2015,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",403
2015,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",63
2015,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",178
2015,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",32
2015,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",12
2015,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",0
2015,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
